0	0
1	1000
8	2000
21	3000
44	4000
75	5000
113	6000
159	7000
202	8000
252	9000
305	10000
353	11000
402	12000
444	13000
486	14000
523	15000
569	16000
614	17000
646	18000
684	19000
714	20000
